minimum wage,popularity density,number of births,cs density,prefecture
861,66.93,35125,3.84 ,hokkaido
790,129.19,8626,6.17 ,aomori
790,80.29,8341,3.59 ,iwate
824,316.27,17347,15.86 ,miyagi
790,83,5666,4.00 ,akita
790,115.53,7547,4.78 ,yamagata
798,134.07,13744,6.50 ,fukushima
849,470.38,20878,23.50 ,ibaraki
853,303.1,14621,14.48 ,tochigi
835,304.55,13661,14.65 ,gumma
926,1932.02,54448,78.18 ,saitama
923,1217.43,45388,52.72 ,chiba
1013,6354.79,111962,340.24 ,tokyo
1011,3807.54,70648,157.76 ,kanagawa
830,176.57,15736,7.10 ,niigata
848,245.55,7301,11.56 ,toyama
832,271.66,8927,11.85 ,ishikawa
829,183.21,6112,8.11 ,fukui
837,181.86,5819,10.35 ,yamanashi
848,151.09,15169,6.94 ,nagano
851,187.26,14831,8.26 ,gifu
885,467.93,27652,21.91 ,shizuoka
926,1460.04,64225,71.74 ,aichi
873,308.22,13202,14.08 ,mie
866,351.96,12072,14.21 ,shiga
909,560.07,19327,23.63 ,kyoto
964,4631.03,68817,211.36 ,osaka
899,650.36,43378,24.34 ,hyogo
837,360.7,9430,12.63 ,nara
830,195.51,6658,7.89 ,wakayama
790,158.44,4436,6.99 ,tottori
790,100.46,5300,4.13 ,shimane
833,265.85,15477,10.71 ,okayama
871,331.15,22736,13.30 ,hiroshima
829,221.76,9844,8.88 ,yamaguchi
793,175.71,5346,7.98 ,tokushima
818,509.42,7510,21.79 ,kagawa
790,235.87,9911,10.32 ,ehime
790,98.21,4779,3.98 ,kochi
841,1024.79,44033,46.18 ,fukuoka
790,333.6,6811,15.04 ,saga
790,320.8,10886,12.37 ,nagasaki
790,235.74,14894,10.37 ,kumamoto
790,178.91,9059,7.87 ,oita
790,138.6,8929,5.55 ,miyazaki
790,174.16,13688,7.34 ,kagoshima
790,637.52,16617,24.42 ,okinawa
